Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
357,Robin Olsen,SWE,GK,Everton,30,1990,7.0,1,0,0,0,1,0,0,0,0,0,0,0,9,2,0,100.0
358,Josh Onomah,ENG,MF,Fulham,23,1997,4.2,1,0,0,12,0,0,2,2,8,0,0,0,18,4,7,36.4
359,Divock Origi,BEL,FW,Liverpool,25,1995,2.1,0,0,0,0,1,0,3,1,2,0,0,0,5,3,7,30.0
360,Ben Osborn,ENG,MF|DF,Sheffield Utd,25,1994,17.8,1,0,0,10,15,4,68,12,18,0,0,0,95,12,17,41.4
361,Owen Otasowie,USA,MF|FW,Wolves,19,2001,2.1,1,0,0,3,6,0,0,3,5,0,0,0,16,8,9,47.1
362,Alex Oxlade-Chamberlain,ENG,MF|FW,Liverpool,26,1993,2.8,0,0,0,3,1,0,8,2,0,0,0,0,15,4,3,57.1
363,Emerson Palmieri,ITA,DF,Chelsea,25,1994,1.0,0,0,0,3,0,0,2,1,3,0,0,0,7,3,0,100.0
364,Thomas Partey,GHA,MF,Arsenal,27,1993,17.0,5,0,0,18,17,0,6,23,21,0,0,0,140,23,18,56.1
365,Rui Patrício,POR,GK,Wolves,32,1988,37.0,1,0,0,0,1,0,0,1,0,0,0,0,29,8,1,88.9
366,Bailey Peacock-Farrell,NIR,GK,Burnley,23,1996,4.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
367,Lee Peltier,ENG,DF,West Brom,33,1986,2.5,1,0,0,4,0,0,3,1,4,0,0,0,16,3,0,100.0
368,Nicolas Pépé,CIV,FW,Arsenal,25,1995,18.0,1,1,0,11,26,4,57,12,15,0,0,0,80,36,30,54.5
369,Matheus Pereira,POR,MF|FW,West Brom,24,1996,28.6,2,1,0,34,52,13,145,29,15,1,0,0,172,13,33,28.3
370,Ricardo Pereira,POR,DF|FW,Leicester City,26,1993,10.7,3,0,0,18,8,0,15,15,22,0,0,0,53,11,13,45.8
371,Ayoze Pérez,ESP,MF|FW,Leicester City,27,1993,14.8,2,0,0,31,23,7,21,10,15,0,0,0,56,12,34,26.1
372,Kalvin Phillips,ENG,MF,Leeds United,24,1995,27.0,10,0,0,46,31,0,77,45,38,0,0,0,214,30,34,46.9
373,Matt Phillips,SCO,MF,West Brom,29,1991,20.3,1,0,0,29,7,8,72,10,8,0,0,0,107,16,36,30.8
374,Nathaniel Phillips,ENG,DF,Liverpool,23,1997,16.2,2,0,0,20,9,0,1,20,14,0,0,0,83,95,47,66.9
